size,time_us
100,3
100,2
100,3
100,2
100,12
100,2
100,2
100,2
100,11
100,12
100,16
100,3
100,3
100,3
100,3
100,3
100,3
100,15
100,3
100,3
100,3
100,3
100,11
100,3
100,3
100,4
100,11
100,3
100,7
100,3
100,3
100,11
100,3
100,3
100,2
100,3
100,11
100,3
100,3
100,3
100,3
100,9
100,3
100,11
100,3
100,10
100,2
100,2
100,11
100,3
100,3
100,3
100,11
100,4
100,12
100,16
100,3
100,11
100,3
100,10
100,3
100,7
100,3
100,3
100,2
100,10
100,3
100,10
100,16
100,3
100,3
100,11
100,3
100,3
100,11
100,3
100,2
100,3
100,4
100,3
100,3
100,10
100,3
100,3
100,3
100,3
100,3
100,17
100,3
100,3
100,3
100,3
100,11
100,2
100,3
100,12
100,2
100,3
100,3
100,3
100,11
100,3
100,12
100,3
100,3
100,12
100,14
100,3
100,10
100,10
100,2
100,12
100,3
100,10
100,17
100,10
100,3
100,3
100,16
100,3
100,2
100,2
100,4
100,3
100,3
100,3
100,11
100,3
100,3
100,9
100,11
100,3
100,11
100,3
100,9
100,3
100,3
100,2
100,10
100,3
100,9
100,9
100,11
100,3
100,10
100,4
100,11
100,3
100,11
100,10
100,3
100,3
100,2
100,10
100,15
100,3
100,10
100,2
100,13
100,2
100,2
100,3
100,3
100,10
100,11
100,17
100,13
100,3
100,2
100,2
100,2
100,10
100,2
100,3
100,10
100,3
100,11
100,15
100,3
100,10
100,4
100,2
100,4
100,2
100,3
100,3
100,3
100,3
100,2
100,3
100,10
100,10
100,12
100,3
100,3
100,4
100,3
100,2
100,10
100,14
100,4
100,11
100,13
100,2
100,4
100,3
100,3
100,10
100,2
100,3
100,11
100,10
100,11
100,3
100,2
100,3
100,2
100,9
100,4
100,11
100,3
100,3
100,2
100,2
100,3
100,3
100,3
100,2
100,2
100,3
100,3
100,3
100,3
100,3
100,9
100,2
100,2
100,2
100,4
100,3
100,3
100,2
100,3
100,10
100,3
100,11
100,2
100,10
100,3
100,15
100,3
100,3
100,3
100,9
100,3
100,1
100,3
100,3
100,3
100,4
100,3
100,3
100,10
100,4
100,14
100,10
100,16
100,3
100,3
100,11
100,11
100,3
100,13
100,11
100,2
100,3
100,10
100,3
100,3
100,10
100,2
100,2
100,11
100,3
100,10
100,3
100,11
100,3
100,3
100,3
100,11
100,3
100,3
100,9
100,2
100,9
100,3
100,11
100,3
100,10
100,3
100,3
100,15
100,11
100,10
100,9
100,3
100,2
100,9
100,2
100,2
100,3
100,10
100,3
100,3
100,3
100,3
100,11
100,12
100,11
100,3
100,13
100,3
100,13
100,12
100,3
100,2
100,3
100,3
100,3
100,10
100,13
100,4
100,2
100,3
100,3
100,13
100,11
100,3
100,2
100,3
100,2
100,2
100,2
100,2
100,4
100,3
100,4
100,3
100,4
100,3
100,11
100,3
100,4
100,11
100,14
100,2
100,3
100,3
100,12
100,4
100,3
100,3
100,2
100,10
100,10
100,12
100,10
100,3
100,9
100,3
100,3
100,3
100,3
100,11
100,3
100,11
100,3
100,2
100,3
100,10
100,3
100,3
100,3
100,10
100,3
100,3
100,11
100,10
100,3
100,2
100,10
100,3
100,11
100,4
100,11
100,15
100,2
100,3
100,3
100,10
100,4
100,4
100,10
100,10
100,3
100,12
100,2
100,3
100,3
100,3
100,11
100,3
100,10
100,3
100,9
100,3
100,2
100,14
100,3
100,3
100,9
100,3
100,10
100,16
100,3
100,3
100,11
100,3
100,11
100,11
100,3
100,14
100,15
100,3
100,3
100,3
100,11
100,3
100,11
